,timestamp,user,pid,cpu,mem,vsz,rss,tty,stat,start,time,cmd
1690,kernux     30020  1.5  0.2 1498976 46760 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1691,kernux     30020  1.5  0.2 1498976 46760 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1692,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,30107,1.0,0.2,1498720,46296,pts/1,Sl+,00:09,0:00,docker
1693,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1694,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1695,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1696,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1697,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1698,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1699,kernux     30064  0.5  0.2 1498464 47808 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1700,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,30134,2.0,0.2,1498464,47516,pts/1,Sl+,00:09,0:00,docker
1701,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1702,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1703,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1704,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1705,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1706,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1707,kernux     30107  1.0  0.2 1498720 46296 pts/1   Sl+  00:09   0:00 docker stats --no-stream,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1708,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,30162,2.0,0.2,1498720,45844,pts/1,Sl+,00:09,0:00,docker
1709,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1710,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1711,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1712,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1713,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1714,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1715,kernux     30134  1.0  0.2 1498464 47516 pts/1   Sl+  00:09   0:00 docker stats --no-stream,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1716,kernux     30162  1.0  0.2 1498720 45844 pts/1   Sl+  00:09   0:00 docker stats --no-stream,kernux,30189,1.0,0.2,1497312,47544,pts/1,Sl+,00:09,0:00,docker
