,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)",source
40,docker_6379i,10798.0,92.60974254491572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,6263.752808988764,4120.0,13935.0,8115.0,10479.0,89.0,402.0,1.0,1255.0,1255.0,1255.0,1255.0,1255.0,509.0,13326.404715127701,6412.0,186623.0,16495.0,28943.0,509.0,402.0,6256.298507462687,2836.0,44223.0,8655.0,12847.0,docker
41,docker_6379i,10677.0,93.65926758452748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,6009.579439252337,3124.0,18319.0,7779.0,9815.0,107.0,408.0,1.0,1256.0,1256.0,1256.0,1256.0,1256.0,485.0,13880.527835051547,7336.0,317951.0,16735.0,46495.0,485.0,408.0,6327.316176470588,2240.0,39967.0,8567.0,18527.0,docker
42,docker_6379i,10731.0,93.18796011555307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,6303.197530864198,3142.0,11479.0,9639.0,10119.0,81.0,408.0,1.0,1620.0,1620.0,1620.0,1620.0,1620.0,511.0,13699.025440313111,7676.0,234879.0,16911.0,26287.0,511.0,408.0,6501.801470588235,2784.0,31183.0,9055.0,16703.0,docker
43,docker_6379i,11852.0,84.37394532568342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,7963.945652173913,3080.0,106175.0,9039.0,48063.0,92.0,414.0,1.0,1195.0,1195.0,1195.0,1195.0,1195.0,494.0,16014.085020242916,5276.0,568831.0,24831.0,107135.0,494.0,414.0,6848.495169082125,2834.0,91327.0,10055.0,25311.0,docker
44,docker_6379i,11059.0,90.42408897730355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6207.023529411765,3992.0,9543.0,7831.0,8775.0,85.0,409.0,1.0,1330.0,1330.0,1330.0,1330.0,1330.0,506.0,13397.102766798418,7808.0,183295.0,16047.0,30943.0,506.0,409.0,6412.053789731051,3212.0,55359.0,8599.0,16223.0,docker
45,docker_6379i,10550.0,94.7867298578199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6353.581395348837,4160.0,10727.0,8855.0,10119.0,86.0,439.0,1.0,1299.0,1299.0,1299.0,1299.0,1299.0,475.0,12711.932631578948,7712.0,31151.0,16783.0,21951.0,475.0,439.0,7247.6788154897495,3130.0,311295.0,9071.0,23327.0,docker
46,docker_6379i,10915.0,91.61704076958314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6527.7625,3512.0,26319.0,9055.0,15855.0,80.0,390.0,1.0,1210.0,1210.0,1210.0,1210.0,1210.0,530.0,13067.211320754717,7180.0,101695.0,17503.0,44543.0,530.0,390.0,6558.130769230769,2368.0,123455.0,8959.0,17503.0,docker
47,docker_6379i,11405.0,87.68084173608067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,6201.875,3232.0,20751.0,9799.0,14551.0,88.0,405.0,1.0,1463.0,1463.0,1463.0,1463.0,1463.0,507.0,13483.641025641025,5648.0,139519.0,19311.0,55551.0,507.0,405.0,7414.558024691358,2406.0,191103.0,9215.0,56127.0,docker
48,docker_6379i,10588.0,94.44654325651682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,6673.263157894737,2866.0,58591.0,8863.0,9639.0,95.0,429.0,1.0,1508.0,1508.0,1508.0,1508.0,1508.0,476.0,13490.88655462185,7336.0,166527.0,16847.0,46207.0,476.0,429.0,7004.650349650349,3260.0,276991.0,8591.0,15087.0,docker
49,docker_6379i,11700.0,85.47008547008546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,8526.235294117647,2894.0,131583.0,11503.0,86079.0,102.0,436.0,1.0,1206.0,1206.0,1206.0,1206.0,1206.0,462.0,13904.142857142857,6136.0,331263.0,17071.0,49119.0,462.0,436.0,7577.972477064221,2816.0,409343.0,9431.0,37151.0,docker
50,docker_6379i,10685.0,93.58914365933552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,6266.777777777777,2756.0,9031.0,8679.0,8991.0,81.0,436.0,1.0,1629.0,1629.0,1629.0,1629.0,1629.0,483.0,13310.993788819876,7808.0,184831.0,16575.0,33215.0,483.0,436.0,6491.802752293578,2862.0,72319.0,8655.0,11503.0,docker
51,docker_6379i,11119.0,89.93614533681087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,6195.510416666667,3700.0,11175.0,8223.0,9623.0,96.0,415.0,1.0,1365.0,1365.0,1365.0,1365.0,1365.0,489.0,14271.112474437628,6956.0,365055.0,17119.0,38143.0,489.0,415.0,7627.6024096385545,2582.0,526335.0,8607.0,18319.0,docker
52,docker_6379i,10713.0,93.34453467749464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,6206.877777777778,3402.0,11935.0,8959.0,10487.0,90.0,408.0,1.0,1401.0,1401.0,1401.0,1401.0,1401.0,502.0,13025.442231075696,7020.0,219391.0,16223.0,27759.0,502.0,408.0,6415.887254901961,3064.0,69951.0,8439.0,14399.0,docker
