,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
67,00:24:16,7a5d590f0972,docker_redis_1,1,12.33,4.17333248,419.4304,1.00%,75.4,17.6,3.19,0.0,4
68,00:24:17,7a5d590f0972,docker_redis_1,1,14.60,4.3044044800000005,419.4304,1.03%,77.0,17.9,3.19,0.0,4
69,00:24:18,7a5d590f0972,docker_redis_1,1,15.50,4.218421247999999,419.4304,1.01%,78.6,18.3,3.19,0.0,4
70,00:24:19,7a5d590f0972,docker_redis_1,1,14.35,4.218421247999999,419.4304,1.01%,80.2,18.7,3.19,0.0,4
71,00:24:20,7a5d590f0972,docker_redis_1,1,11.99,4.222615552,419.4304,1.01%,81.6,19.0,3.19,0.0,4
72,00:24:21,7a5d590f0972,docker_redis_1,1,13.34,4.218421247999999,419.4304,1.01%,83.0,19.4,3.19,0.0,4
73,00:24:22,7a5d590f0972,docker_redis_1,1,11.50,4.153409536,419.4304,0.99%,84.2,19.7,3.19,0.0,4
74,00:24:23,7a5d590f0972,docker_redis_1,1,9.26,4.1492152319999995,419.4304,0.99%,85.3,20.0,3.19,0.0,4
75,00:24:24,7a5d590f0972,docker_redis_1,1,9.77,4.276092928000001,419.4304,1.02%,86.4,20.3,3.19,0.0,4
76,00:24:25,7a5d590f0972,docker_redis_1,1,9.19,4.145020928,419.4304,0.99%,87.2,20.6,3.19,0.0,4
77,00:24:26,7a5d590f0972,docker_redis_1,1,8.07,4.140826624,419.4304,0.99%,87.9,20.8,3.19,0.0,4
78,00:24:27,7a5d590f0972,docker_redis_1,1,6.98,4.132438016,419.4304,0.99%,88.3,20.9,3.19,0.0,4
79,00:24:28,7a5d590f0972,docker_redis_1,1,0.69,4.140826624,419.4304,0.99%,88.3,20.9,3.19,0.0,4
80,00:24:29,7a5d590f0972,docker_redis_1,1,0.20,4.140826624,419.4304,0.99%,88.3,20.9,3.19,0.0,4
81,00:24:30,7a5d590f0972,docker_redis_1,1,0.17,4.140826624,419.4304,0.99%,88.3,20.9,3.19,0.0,4
82,00:24:31,7a5d590f0972,docker_redis_1,1,0.81,4.140826624,419.4304,0.99%,88.3,20.9,3.19,0.0,4
83,00:24:33,7a5d590f0972,docker_redis_1,1,4.81,4.145020928,419.4304,0.99%,88.5,20.9,3.19,0.0,4
84,00:24:34,7a5d590f0972,docker_redis_1,1,5.95,3.98983168,419.4304,0.95%,88.9,21.0,3.19,0.0,4
85,00:24:35,7a5d590f0972,docker_redis_1,1,6.93,3.9940259840000003,419.4304,0.95%,89.4,21.1,3.19,0.0,4
86,00:24:36,7a5d590f0972,docker_redis_1,1,8.52,3.9971717119999997,419.4304,0.95%,90.1,21.2,3.19,0.0,4
